,x,y,z,# of connected lines,0th line destination point
0,-121.59073034231994,-76.66069440564951,2621.6145341509086,1,1
1,-121.68644638050645,-76.57666232667114,2621.683796155059,1,1
2,-121.77858118976033,-76.30535783416204,2621.6746149719434,1,1
3,-121.85234914429165,-75.92774295620436,2621.7358744882517,1,1
4,-121.92812065788709,-75.69725900985675,2621.7906338839553,1,1
5,-122.0021763779422,-75.62436104114032,2621.7998042105673,1,1
6,-122.14394170249837,-75.62772757874814,2621.865506292252,1,1
7,-122.395702295442,-75.48394638566165,2622.0785987591767,1,1
8,-122.54897031458056,-75.37825498732346,2622.256521565669,1,1
9,-122.72292797930164,-75.31639758777446,2622.6643109757724,1,1
10,-122.72924444565318,-75.3426065580083,2622.8158153412105,1,1
11,-122.80464718155173,-75.2965258071411,2622.9726828932726,1,1
12,-122.87410228574772,-74.86960591370315,2623.058592010151,1,1
13,-123.1218609944943,-74.37887983606154,2623.2087312009985,1,1
14,-123.36696586033082,-74.11913513457911,2623.36297011227,1,1
15,-123.38824270503456,-74.02060580277828,2623.392261118504,1,1
16,-123.40728147321957,-73.73320866806607,2623.368370351367,1,1
17,-123.49196083381575,-72.40251039439046,2623.5347616428517,1,1
18,-123.47133899521351,-68.93054158972701,2624.0192030092194,1,1
19,-123.4800561374655,-65.41415142580364,2624.684436356482,1,1
20,-123.45471222015333,-63.210351815989206,2625.1221331494276,1,1
21,-123.44277468409653,-61.566553593855346,2625.397039620351,1,1
22,-123.10932284394104,-59.35541896295918,2625.7384202031653,1,1
23,-122.77319688702848,-55.56178504580478,2626.5179041084543,1,1
24,-122.19609507744676,-50.529198241091386,2627.537329512959,1,1
25,-121.4141533555874,-45.17000081387617,2628.45049258847,1,1
26,-120.62799052256572,-40.563695930117966,2629.0949025559885,1,1
27,-119.93918114202694,-36.91188155444711,2629.5958021193546,1,1
28,-119.14474744281019,-33.37341259073071,2630.074963763558,1,1
29,-118.27529993260603,-29.56512905383901,2630.732847151662,1,1
30,-117.62160687293802,-25.93280759194749,2631.656729809502,1,1
31,-116.88104525523053,-22.713639326374267,2632.4113156729977,1,1
32,-115.80635809628224,-18.756006455771058,2633.2245637815718,1,1
33,-114.47706183585328,-14.471665477809047,2634.1296430543666,1,1
34,-113.34578163220083,-11.075245828674882,2634.97982162768,1,1
35,-112.25141486762347,-8.277258917036114,2635.6960674394595,1,1
36,-111.32022774437266,-5.812033858123823,2636.3900948915184,1,1
37,-110.44960125215208,-3.8642591387634253,2637.026960019577,1,1
38,-108.95637869049835,-0.9020017007772787,2637.6597402458037,1,1
39,-106.94730497078507,2.8446749524744286,2638.2976897228546,1,1
40,-104.79668537438342,6.483341346354219,2638.992482775249,1,1
41,-103.02942392656739,9.270418303513932,2639.4374290247656,1,1
42,-101.58938609259877,11.19339518082804,2639.5929077639903,1,1
43,-100.07551792384562,12.910835861590378,2639.6324885800623,1,1
44,-97.8137935639974,16.17176523487412,2640.2708213076608,1,1
45,-95.1454932677807,20.14121658995421,2641.209628279239,1,1
46,-92.65415227840232,23.726982308110173,2642.0351696052626,1,1
47,-90.79004188891764,26.261964101244224,2642.768768257102,1,1
48,-89.20999827981396,27.858446064616142,2643.215364931784,1,1
49,-87.67921703629489,29.335019553072055,2643.764012383362,1,1
50,-85.37305450726905,31.867726872570614,2644.789014242717,1,1
51,-83.24461923458108,34.209740372204266,2645.8649563712465,1,1
52,-81.61648174952614,36.0214093877876,2647.0139984939033,1,1
53,-80.33698705940878,37.32655256089119,2647.857048910551,1,1
54,-78.9259131189989,38.47429711054507,2648.1716087836735,1,1
55,-77.39385766505684,39.948695677517456,2648.6906423776004,1,1
56,-75.7253636292322,42.08001262226633,2649.954947562025,1,1
57,-74.28220650004627,44.103970557515744,2651.435777333764,1,1
58,-73.22113157125713,45.4925960041832,2652.7567748012534,1,1
59,-72.43814394854645,46.48837244498621,2653.7240099192113,1,1
60,-71.93926224868937,47.1719454144878,2654.3997134369047,1,1
61,-71.24282058114532,48.44691046399723,2655.47799845589,1,1
62,-69.87630336684182,50.43378103158197,2656.811423467522,1,1
63,-68.42165494920323,52.41033292207479,2657.968071170712,1,1
64,-67.3149265490743,53.84109043185647,2658.8256656350904,1,1
65,-66.40438176440863,54.808982576264654,2659.2163247250123,1,1
66,-66.03271434771783,55.269207716663715,2659.5974616522835,1,1
67,-66.07390828671538,55.425159045829425,2659.9554897837543,1,1
68,-66.46958303674016,55.31984298135661,2660.236523045699,1,1
69,-67.34936119340942,54.83743549619486,2660.4763731330686,1,1
70,-68.87435788771215,53.57640835894426,2660.3186599240166,1,1
71,-69.66522331460098,52.59527344362231,2659.76352162396,1,1
72,-68.6448730185964,53.04337107173023,2659.2643770102654,1,1
73,-67.90888620738617,52.98425332613325,2658.6115782778106,1,1
74,-67.46058538527974,52.502694470619666,2658.0110451440723,1,1
75,-67.55228835398485,51.19709730690698,2656.9348556933755,1,1
76,-69.04197067327313,48.36175788086576,2655.301585203455,1,1
77,-71.93169770420461,43.90908287000346,2652.9085622901325,1,1
78,-74.64630058223584,39.64590753561383,2650.7949634962074,1,1
79,-76.92442284387339,36.272264990236465,2649.564589430156,1,1
80,-79.35603128349416,32.83964129418955,2648.4937547234213,1,1
81,-82.72687825833393,28.207067112643305,2647.2312474392816,1,1
82,-87.24067275456457,21.73590463127161,2645.383918161843,1,1
83,-91.28630773520669,15.375018375566716,2643.4620119281935,1,1
84,-92.71092998427838,12.838713544380635,2642.5349695129244,1,1
85,-92.81090578276122,12.563218681625793,2642.4127285210625,1,1
86,-92.84810760962075,12.137181760407877,2641.9871667112757,1,1
87,-92.87891455430173,11.485715557145406,2641.4099697422175,1,1
88,-93.16239279401144,10.382933332211834,2640.5524865853004,1,1
89,-93.99066786242507,8.01962756985835,2639.046536451389,1,1
90,-94.99807450833003,4.733828292715458,2637.163466885131,1,1
91,-95.71535930564112,2.716532250600853,2636.2792096972203,1,1
92,-96.1947939859314,1.5721979041802354,2635.8568630398186,1,1
93,-97.18737546922296,-0.7234837547948194,2635.105460945634,1,1
94,-98.89475712020284,-4.619300915460464,2633.923100113527,1,1
95,-100.90679547536514,-9.856135185457902,2632.2524971683447,1,1
96,-103.29287170947511,-16.99944376590628,2630.1679837807883,1,1
97,-105.76508082491296,-24.953287016498745,2628.3312429584544,1,1
98,-106.50423100829491,-29.545099338231065,2626.8442365628002,1,1
99,-106.4748025005932,-31.131016461769605,2626.3006125768607,1,1
100,-106.20816231832362,-32.00408943487985,2625.6925020711624,1,1
101,-105.94576101105007,-33.1591212979759,2624.66522150746,1,1
102,-106.07057142815128,-37.12174037342447,2622.454485677337,1,1
103,-107.32607555794178,-45.457182136902006,2619.918415239014,1,1
104,-109.19635415312565,-55.06741080856561,2618.2970929248113,1,1
105,-110.50783457119317,-62.03188378735932,2617.516839166338,1,1
106,-111.68096176621852,-66.40208706385664,2617.6261441313636,1,1
107,-112.57547860843664,-69.32288826950146,2617.89249726312,1,1
108,-113.19081900569664,-71.44677301793111,2618.0825815136354,1,1
109,-113.91585350867604,-73.28834717184584,2618.403289123985,1,1
110,-114.85949834346661,-75.7488558439604,2618.8604459326325,1,1
111,-115.35146830898732,-78.03366669751321,2618.7769385725474,1,1
112,-115.52316348283615,-79.31965410142774,2618.671506100648,1,1
113,-115.53209488353085,-81.62553314752344,2618.1797038667632,1,1
114,-115.52534863671363,-85.43024202422824,2617.459390284625,1,1
115,-115.24298221800635,-89.60754712740885,2616.431151698608,1,1
116,-114.60962517425583,-93.58545425609317,2615.058430419008,1,1
117,-113.60410564230602,-97.05542816403987,2613.0848996688655,1,1
118,-112.12986183975829,-99.68681717598528,2610.7757653948324,1,1
119,-110.59913665981574,-101.77115166337983,2608.513614006732,1,1
120,-109.63311085046386,-103.30905660968206,2607.0968866768653,1,1
121,-109.67746398434802,-104.11453821065217,2607.038310901154,1,1
122,-110.22510256303012,-104.12397989025044,2607.4361200151643,1,1
123,-111.10826295816177,-103.43513671915169,2608.3790052968857,1,1
124,-112.12460132099892,-102.29670208174664,2609.3359086517116,1,1
125,-112.94251592167278,-101.18628149159176,2610.1984080180573,1,1
126,-113.78757911454225,-100.3523693677092,2611.089523127788,1,1
127,-114.7542635543815,-99.25711337794638,2612.046162020759,1,1
128,-115.50199770129834,-98.26136046043003,2612.9623430352217,1,1
129,-116.15884109410595,-97.19448806426956,2613.796093174152,1,1
130,-116.66759616204646,-95.85506760220566,2614.4487475279434,1,1
131,-117.06843797016552,-94.28051431540617,2615.1016918784326,1,1
132,-117.19249037052857,-92.44410975548293,2615.428733611641,1,1
133,-117.02751730465012,-88.85227655980084,2615.9067458332293,1,1
134,-116.73159301526701,-84.19594119472508,2616.681648956173,1,1
135,-116.28564558836072,-79.7306825345217,2617.362792290884,1,1
136,-115.926952593022,-76.1489697337198,2618.0209741010754,1,1
137,-115.52788753474087,-73.46562119267612,2618.494776556315,1,1
138,-115.13361953663973,-71.55290797420074,2618.649664208189,1,1
139,-114.4004577943187,-69.62566841125725,2618.522365630744,1,1
140,-113.06873492207043,-67.02970018858103,2618.208129578764,1,1
141,-111.11045846903275,-62.82277280407254,2618.1859260085394,1,1
142,-109.15233357961075,-57.55424164149835,2618.974079647586,1,1
143,-107.44995294035428,-52.37494814177993,2620.441210830002,1,1
144,-105.96019482008735,-48.1409388282128,2621.8779814325712,1,1
145,-104.51996526889835,-45.41461674409382,2622.6098827600945,1,1
146,-103.18290466185019,-43.70687561657071,2623.022448385261,1,1
147,-101.4641024724743,-41.73474388505629,2623.5208627434213,1,1
148,-99.00186065127592,-38.65230402289708,2624.5873327305085,1,1
149,-95.78219351278617,-34.70485232783141,2626.105794648754,1,1
150,-92.47862992342321,-30.953069108214365,2627.6611411097947,1,1
151,-89.74665345687278,-28.075651889725215,2628.959909211724,1,1
152,-87.7539454187399,-26.112768779841815,2630.253521728249,1,1
153,-86.4024866432529,-25.022722741469593,2631.03956447034,1,1
154,-84.14131097964811,-23.023389122570823,2632.9680091660002,1,1
155,-79.44449701807353,-18.515570542424456,2636.8032601815735,1,1
156,-73.99623693699549,-13.48493861705576,2641.500392335934,1,1
157,-68.95023183816153,-9.529744243854804,2645.722034369544,1,1
158,-64.89569464389821,-6.890212617442399,2648.8007311948095,1,1
159,-61.999370225963425,-5.1399488118108865,2651.08273389033,1,1
160,-60.10652852710212,-3.9517806099359896,2652.7006065403057,1,1
161,-57.278631347684865,-2.4495146972481567,2655.427658498015,1,1
162,-51.4808137389344,0.16295271037170211,2660.448338501118,1,1
163,-45.27472873499725,2.2913965843347053,2665.5164610659454,1,1
164,-40.07493024252203,3.259555682476537,2669.570901950385,1,1
165,-36.29353649715138,3.2810218959651873,2672.4165844802837,1,1
166,-33.853265368667685,3.014517876774287,2674.193182817193,1,1
167,-32.93226445196146,2.7056044532363517,2674.8799840301604,1,1
